AccountName,SubscriptionName,ResourceGroup,MeterCategory,Sum of Cost
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtwebteamsited-stg-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtwebteamsited-stg-rg,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuepreprodkeyvault-stg-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuepreprodkeyvault-stg-rg,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AZUKSPREPRODKEYVAULT-STG-RG,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BACKUP-STG-RG,Backup,$1073.56
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BACKUP-STG-RG,Log Analytics,$0.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-AUEast-BasTax-EstateMaster-VisualRisk-Laserfiche-STG-RG,Advanced Threat Protection,$14.02
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-AUEast-BasTax-EstateMaster-VisualRisk-Laserfiche-STG-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-AUEast-BasTax-EstateMaster-VisualRisk-Laserfiche-STG-RG,Storage,$463.67
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-AUEast-BasTax-EstateMaster-VisualRisk-Laserfiche-STG-RG,Virtual Machines,$404.53
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-AUEast-BasTax-EstateMaster-VisualRisk-Laserfiche-STG-RG,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-USEAST-RAAAzureSQL-DEV-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BAM-USEAST-RAAAzureSQL-DEV-RG,SQL Database,$81.53
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BCO_GRP_1,VPN Gateway,$29.16
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BPG-USEAST-ARGUS-TEST-RG,Storage,$1.02
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BPG-USEAST-MVP-DEV-RG,Storage,$8.64
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BPG-USEAST-MVP-DEV-RG,Virtual Machines,$67.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BPG-USEAST-REALESTATERS-DEV-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BPG-USEAST-REALESTATERS-DEV-RG,SQL Database,$32.55
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,bpo-us-argus-dev-rg,Advanced Threat Protection,$7.11
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,bpo-us-argus-dev-rg,Bandwidth,$0.29
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,bpo-us-argus-dev-rg,Storage,$443.27
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,bpo-us-argus-dev-rg,Virtual Machines,$0.21
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,bpo-us-argus-dev-rg,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BRG-USEAST-RPTAzureSQL-DEV-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,BRG-USEAST-RPTAzureSQL-DEV-RG,SQL Database,$81.53
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,brookfieldcontractsstaging,Cloud Services,$64.68
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,cloud-shell-storage-eastus,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,cloud-shell-storage-eastus,Storage,$0.33
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxftp-stg-rg,Advanced Threat Protection,$11.10
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxftp-stg-rg,Bandwidth,$1.27
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxftp-stg-rg,Storage,$26.09
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxftp-stg-rg,Virtual Machines,$1.27
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Advanced Threat Protection,$7.85
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Load Balancer,$20.21
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Storage,$19.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Virtual Machines,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,daxib-stg-rg,Virtual Network,$4.05
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,dc-stg-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,dc-stg-rg,Storage,$12.17
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,defaultresourcegroup-eus,Advanced Data Security,$48.83
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,defaultresourcegroup-eus,Insight and Analytics,$114.24
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,defaultresourcegroup-eus,Security Center,$189.70
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,default-storage-eastus,Storage,$15.10
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,default-web-eastus,Azure App Service,$80.95
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,default-web-eastus,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,mim-stg-rg,Advanced Threat Protection,$45.09
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,mim-stg-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,mim-stg-rg,Storage,$191.11
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,mim-stg-rg,Virtual Machines,$584.02
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,mim-stg-rg,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,NetworkWatcherRG,Network Watcher,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,ofb-stg-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,ofb-stg-rg,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pblu-stg-rg,Advanced Threat Protection,$12.85
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pblu-stg-rg,Bandwidth,$0.29
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pblu-stg-rg,Storage,$21.85
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pblu-stg-rg,Virtual Machines,$204.59
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pfg-useast-tableau-dev-rg,Advanced Threat Protection,$6.28
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pfg-useast-tableau-dev-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pfg-useast-tableau-dev-rg,Storage,$25.49
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pfg-useast-tableau-dev-rg,Virtual Machines,$155.48
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,pfg-useast-tableau-dev-rg,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,ror-stg-rg,Advanced Threat Protection,$6.80
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,ror-stg-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,ror-stg-rg,Storage,$32.60
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,ror-stg-rg,Virtual Machines,$5.86
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,securitydata,Advanced Threat Protection,$2.09
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,securitydata,Bandwidth,$0.02
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,securitydata,Storage,$1.94
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-UKSOUTH-iManage-TEST-RG,Advanced Threat Protection,$0.33
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-UKSOUTH-iManage-TEST-RG,Storage,$6.73
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-ALFRESCOBACKUPTESTRESTORE-PREPROD-RG,Storage,$86.03
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-BusinessObjects-PreProd-RG,Advanced Threat Protection,$7.82
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-BusinessObjects-PreProd-RG,Bandwidth,$0.48
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-BusinessObjects-PreProd-RG,Storage,$86.64
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-BusinessObjects-PreProd-RG,Virtual Machines,$155.04
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-BusinessObjects-PreProd-RG,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-BUSINESSOBJECTSSQL-PREPROD-RG,Storage,$152.07
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DAAAzureSQL-TEST-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DAAAzureSQL-TEST-RG,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DAAAzureSQL-TEST-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DAAAzureSQL-TEST-RG,SQL Database,$16.27
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DAAAzureSQL-TEST-RG,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DataAnalyticsAutomation-DEV-RG,Advanced Threat Protection,$8.63
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DataAnalyticsAutomation-DEV-RG,Bandwidth,$0.48
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DataAnalyticsAutomation-DEV-RG,Storage,$8.39
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DataAnalyticsAutomation-DEV-RG,Virtual Machines,$0.21
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-DataAnalyticsAutomation-DEV-RG,Virtual Machines Licenses,$219.18
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-useast-econtracts-stg-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-useast-econtracts-stg-rg,Azure App Service,$60.71
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-useast-econtracts-stg-rg,Bandwidth,$0.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-useast-econtracts-stg-rg,Storage,$0.51
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-EXECUTIVECOMPENSATIONDATABASE-STG-RG,Advanced Threat Protection,$7.71
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-EXECUTIVECOMPENSATIONDATABASE-STG-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-EXECUTIVECOMPENSATIONDATABASE-STG-RG,Storage,$20.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-EXECUTIVECOMPENSATIONDATABASE-STG-RG,Virtual Machines,$156.23
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-EXECUTIVECOMPENSATIONDATABASE-STG-RG,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-FinancialReportingServices-DEV-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-FinancialReportingServices-DEV-RG,SQL Database,$32.55
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFM-PREPROD-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFM-PREPROD-RG,Storage,$29.27
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFM-PREPROD-RG,Virtual Machines,$815.89
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFMSQL-PREPROD-RG,Storage,$72.81
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFMSQL-PREPROD-RG,Virtual Machines,$269.31
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFMSQL-PREPROD-RG,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFMWEB-PREPROD-RG,Storage,$28.95
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HFMWEB-PREPROD-RG,Virtual Machines,$134.34
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HRSReporting-DEV-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-HRSReporting-DEV-RG,SQL Database,$32.55
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-IMANAGE-TEST-RG,Storage,$6.40
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InfrastructureAutomation-Preproduction-RG,Automation,$0.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,Advanced Threat Protection,$1.45
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,Azure App Service,$141.66
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,Key Vault,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,SQL Database,$32.55
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-InvestorApps-DEV-RG,Storage,$0.03
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-DEV-RG,Advanced Threat Protection,$5.89
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-DEV-RG,Bandwidth,$0.27
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-DEV-RG,Storage,$5.47
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-DEV-RG,Virtual Machines,$76.33
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-STG-RG,Advanced Threat Protection,$5.44
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-STG-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-STG-RG,Storage,$5.96
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-SERVICENOW-STG-RG,Virtual Machines,$118.77
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-TreasurySystems-Dev-RG,Advanced Data Security,$16.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-TreasurySystems-Dev-RG,Advanced Threat Protection,$0.45
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-TreasurySystems-Dev-RG,Azure App Service,$60.71
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-TreasurySystems-Dev-RG,Bandwidth,$0.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-TreasurySystems-Dev-RG,SQL Database,$873.83
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEast-TreasurySystems-Dev-RG,Storage,$0.34
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-useast-wealthmanagementmigration-staging-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-useast-wealthmanagementmigration-staging-rg,Storage,$7.26
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoLogging-Staging-RG,Advanced Threat Protection,$0.18
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoLogging-Staging-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoLogging-Staging-RG,Storage,$3.70
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoOPA-DEV-RG,Advanced Threat Protection,$6.88
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoOPA-DEV-RG,Bandwidth,$0.48
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoOPA-DEV-RG,Storage,$9.20
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,TSG-USEAST-WorkatoOPA-DEV-RG,Virtual Machines,$67.32
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-us-uce911web-test-rg,Azure App Service,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,tsg-us-uce911web-test-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,VNET-STG-RG,ExpressRoute,$461.35
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,WATSERV-AZUREMIGRATE,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,"",Azure DevOps,$292.56
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,"",Unassigned,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,"",Virtual Machines,$11769.54
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,$system,Service Bus,$1.21
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,ads-PROD-RG,Bandwidth,$8.64
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,ads-PROD-RG,Cloud Services,$110.09
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,ads-PROD-RG,Storage,$1.17
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,APP-PROD-RG,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,APP-PROD-RG,Storage,$0.66
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,APP-PROD-RG,Virtual Network,$0.02
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azuebtofb-prod-rg,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azuebtwebteamsite-prod-rg,Azure App Service,$202.37
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azuebtwebteamsite-prod-rg,Bandwidth,$0.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azuebtwebteamsite-prod-rg,Log Analytics,$8.80
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azuebtwebteamsite-prod-rg,Storage,$0.10
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azueprodkeyvault-prod-rg,Key Vault,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azueprodkeyvault-prod-rg,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azureautomation-prod-rg,Automation,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azureautomation-prod-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,azureautomation-prod-rg,Storage,$4.16
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,BACKUP-DR-RG,Automation,$0.12
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,BACKUP-DR-RG,Azure Site Recovery,$976.70
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,BACKUP-DR-RG,Backup,$493.24
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,BACKUP-DR-RG,Bandwidth,$184.96
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,BACKUP-DR-RG,Storage,$1703.07
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,BACKUP-DR-RG,Virtual Network,$16.22
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,backup-prod-rg,Automation,$0.02
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,backup-prod-rg,Azure Site Recovery,$108.80
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,backup-prod-rg,Backup,$25484.57
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Production,backup-prod-rg,Bandwidth,$0.00
